Categoria;Observación o Termino;Definición ecológica;Variable asociada;Variable secundaria;Regla cuantitativa;Interpretación
Color;Vegetación amarilla / café;Posible estrés vegetal senescencia exceso de agua o déficit hídrico.;flujo de CO2;Nivel del agua en cm o Temperatura del aire;CO2 positivo ≥ 3.145 µmol/m²/s o Nivel del agua en cm extremo ≤ 0 cm o ≥ 8 cm;Puede sugerir menor actividad fotosintética o vegetación bajo estrés.

Suelo al pisar/tocar;Suelo esponjoso;Suelo orgánico tipo turba con alta retención de agua.;Nivel del agua en cm;Flujo de CH4 o microtopografia;Nivel del agua en cm ≥ 4 cm + microtopografia tipo hollow o zona húmeda;Indica suelo saturado blando y con potencial emisión de CH4.

Suelo al pisar/tocar;El suelo se hunde;Baja firmeza por saturación o acumulación de materia orgánica.;Nivel del agua en cm;Flujo de CH4;Nivel del agua en cm ≥ 8 cm o Flujo de CH4≥ 0.0735 µmol/m²/s;Puede corresponder a zonas muy húmedas o puntos calientes de metano.

Suelo al pisar/tocar;Suelo firme;Suelo con menor humedad superficial o mejor drenaje.;Nivel del agua en cm;Flujo de CO2 o distance_to_dich;Nivel del agua en cm ≤ 0 cm o distance_to_dich ≤ 5.85 m;Puede representar zona más aireada con menor CH4 y mayor respiración aerobia.

Suelo al pisar/tocar;Suelo caliente / tibio;Mayor exposición solar o menor cobertura vegetal.;Temperatura del suelo;Radiación fotosintéticamente activa PAR inicial o vegetacion;Temperatura del suelo≥ 13.7 °C + Radiación fotosintéticamente activa PAR≥ 796;Puede indicar mayor radiación y posible aumento de respiración del suelo.

Sensación ambiental;Aire pesado / bochorno;Alta humedad ambiental poca sensación de ventilación.;Humedad relativa RH;Punto de rocio o temperatura del aire;Humedad relativa HR ≥ 80.6%;Indica ambiente muy húmedo favorable para condensación y baja evaporación.

Sensación ambiental;Ambiente muy iluminado;Alta entrada de radiación solar.;Radiación fotosintéticamente activa PAR inicial / Radiación fotosintéticamente activa PAR  final;Flujo de CO2 o vegetacion;Radiación fotosintéticamente activa PAR  ≥ 1445;Puede favorecer fotosíntesis si la vegetación está activa.

Sensación ambiental;Ambiente sombreado / nublado;Baja radiación disponible para fotosíntesis.;Radiación fotosintéticamente activa PAR inicial / Radiación fotosintéticamente activa PAR  final;Flujo de CO2 o Dia/noche;Radiación fotosintéticamente activa PAR ≤ 24;Puede asociarse a menor captura de CO2.

Sensación ambiental;Frío de páramo;Temperatura ambiental baja.;Temperatura del aire;Temperatura del suelo o humedad relativa;Temperatura del aire ≤ 14.9 °C;Condición fría típica de mediciones con menor actividad térmica del ecosistema.

Agua visible;Agua en superficie;Suelo inundado o saturado superficialmente.;Nivel del agua en cm;Flujo de CH4;Nivel del agua en cm ≥ 4 cm;Puede favorecer condiciones anaerobias y aumento de CH4.

Agua visible;Agua burbujeando;Liberación visible de gas desde el suelo o sedimento.;Flujo de CH4;Nivel del agua en cm o temperatura del suelo;Flujo de CH4 ≥ 0.0735 µmol/m²/s + Nivel del agua en cm ≥ 4 cm;Probable ebullición o liberación puntual de metano.

Agua visible;Charcos pequeños;Acumulación de agua en depresiones del terreno.;Nivel del agua en cm;microtopografia;Nivel del agua en cm entre 4 y 8 cm;Sugiere microdepresión húmeda con potencial actividad anaerobia.

Agua visible;Suelo seco superficialmente;Ausencia de agua visible o nivel bajo.;Nivel del agua en cm;Flujo de CO2 o distance_to_dich;Nivel del agua en cm ≤ 0 cm;Puede indicar condición más aireada con menor CH4.


Plantas observadas;Presencia de Sphagnum;Musgo asociado a ambientes húmedos fríos y con acumulación orgánica.;Vegetación;Nivel del agua en cm o humedad relativa o Flujo de CH4;vegetacion = Esfagnos + humedad relativa ≥ 74% o Nivel del agua en cm ≥ 4 cm;Indica zona húmeda con posible acumulación de carbono.

Plantas observadas;Presencia de macrófitas;Plantas acuáticas o semiacuáticas asociadas a saturación.;Vegetación;Nivel del agua en cm o Flujo de CH4 ;vegetacion = macrofita + Nivel del agua en cm ≥ 4 cm;Sugiere suelo húmedo o inundado y posible transporte de gases.

Plantas observadas;Presencia de Chusquea;Vegetación tipo bambusoide puede estar en zonas menos saturadas o de hummock.;Vegetación;microtopografia o Nivel del agua en cm ;vegetacion = Chusquea + microtopografía = hummock + Nivel del agua en cm ≤ 4 cm;Puede representar zonas relativamente más elevadas o menos inundadas.

Plantas observadas;Turba desnuda;Suelo orgánico expuesto con baja cobertura vegetal.;Vegetación;Flujo de CO2 o Nivel del agua en cm o Radiación fotosintéticamente activa PAR ;vegetacion = turba desnuda + PAR ≥ 796;Puede indicar mayor exposición del suelo y posible aumento de temperatura o respiración.

Frase de campo; Humedal está hirviendo ;Burbujeo constante por liberación de gases probablemente CH4.;Flujo de CH4;Nivel del agua en cm o microtopografía;Flujo de CH4≥ 0.0735 µmol/m²/s + Nivel del agua en cm ≥ 4 cm;Punto caliente de metano posible ebullición.

Frase de campo;Suelo está respirando fuerte;Alta emisión de CO2 por raíces microorganismos o descomposición.;Flujo de CO2 ;Temperatura del suelo o vegetación;Flujo de CO2≥ 3.145 µmol/m²/s muy alto si CO2 ≥ 6.197 µmol/m²/s;Alta respiración ecosistémica.

Frase de campo;zona viva;Alta actividad biológica visible o funcional.;Flujo de CO2 / Flujo de CH4;Vegetación o Radiación fotosintéticamente activa PAR o humedad relativa;Flujo de CO2≥ 3.145 o Flujo de CH4≥ 0.0188 o con vegetación presente;Área con alta actividad ecosistémica ya sea respiración descomposición o emisión de gases.

Frase de campo;Zona está apagada;Baja actividad aparente o flujos bajos.;Flujo de CO2 / Flujo de CH4;Radiación fotosintéticamente activa PAR o vegetación;Flujo de CO2 entre -0.665 y 3.145 + Flujo de CH4 < 0.00188 µmol/m²/s;Actividad baja o condición estable con poca emisión.

Frase de campo;Está muy seco para ser humedal;Condición de baja saturación o posible drenaje.;Nivel del agua en cm;distance_to_dich o flujo de CO2;Nivel del agua en cm ≤ 0 cm o distance_to_dich ≤ 5.85 m;Puede indicar efecto de drenaje  menor CH4 y mayor aireación.

DEFINICION ;Biodiversidad;Variedad de especies vivas en un ecosistema.;;;;

DEFINICION ;Biodiversidad;Variedad de especies vivas en un ecosistema.;Índice de Shannon;N/A;Tendencia a 0 muy baja biodiversidad / => 4 alta biodiversidad;
DEFINICION ;Cambio climático;Alteración global prolongada de los patrones climáticos.;Temperatura/ precipitación/ emisiones GEI;;;
DEFINICION ;Carbono organico en el suelo (COS) mineral;Carbono que se encuentra en el suelo. Puede ser representado como porcentaje o como peso por area. ;Concentración;;Muy Baja < 0.5%/ Baja 0.5 a 1.0%/ Media1.0 a 2.0%/ Alta 2.0 a 4.0%/ Muy alta > 4.0%;
DEFINICION ;Carbono organico en el suelo (COS) organico;Carbono que se encuentra en el suelo. Puede ser representado como porcentaje o como peso por area. ;Concentración;;>12% de carbono en un horizonte de maximo 20 cm;
DEFINICION ;Biomasa Aerea;Cantidad de carbono retenida en vegetación en pie;Toneladas de carbono por hectárea;;10 MgC/ha en bosque baja biomasa - > 100 alta biomasa en bosque;
DEFINICION ;Chagra;Espacio tradicional indigena de cultivo/ usualmente rotatorio ;;;;
DEFINICION ;Cuenca hídrica;Area en donde todas las agua corren hacia un mismo punto de salida;Tiempo de concentración;;;
DEFINICION ;Emisiones;Liberación de gases o partículas al ambiente.Los gases se convierten a Toneladas de CO₂ equivalente segun su capacidad de retener el calor (potencial de calentamiento global);CO₂e;;CO2 = 1 CO2e /CH4 = 30 CO2e /N2O = 273 CO2e;
DEFINICION ;Evaporación;Transformación del agua líquida en el suelo en vapor.;Tasa de evaporación en mm;;;
DEFINICION ;Georreferenciación;Ubicación espacial mediante coordenadas ;Grados / minutos y segundos;;;
DEFINICION ;Humedal;Un humedal es una zona de la superficie terrestre que está temporal o permanentemente inundada/ regulada por factores climáticos y en constante interrelación son los seres vivos que la habitan;;;;
DEFINICION ;Flujo;Tasa a la que se mueve un elemento. Usualmente expresado como una cantidad en peso/ sobre un area/ en un tiempo especifico;flujo µmol /m2 /s;;;
DEFINICION ;Maloca;Casa comunitaria indígena de transmisión cultural.;;;;
DEFINICION ;CH4;Metano/ es un gas de efecto invernadero;Cantidad de moleculas en µmol o en peso en microgramo;;Negativo /absorcion/ Muy bajo 0 Alto > 500 mg/m2/dia;
DEFINICION ;Morichal;Ecosistema dominado por palma de moriche.;;;;
DEFINICION ;PAR;Medida de luz que es aprovechable por plantas;flujo µmol /m2 /s;;Noche 0 Medio dia despejado >1000;
DEFINICION ;Precipitación;Caída de agua liquida o solida desde la atmósfera;Milímetros de agua en un metro 2;;Baja < 500mm Alto >4000mm;
DEFINICION ;Temperatura;Medida del calor ambiental.;Grados °C;;Baja -10° Alta 40°;
DEFINICION ;Transpiracion;Perdida de agua por emision de las plantas a la atmos;mm de agua;;Baja < 1mm dia Alto > 5 mm dia ;
DEFINICION ;Vientos alisios;Corrientes de aire que influyen en el clima tropical.;m/s;;;

